Japanese,Romaji,English
本,hon,Book
ベッド,beddo,Bed
誕生日,tanjōby,Birthday
時計,tokei,"Watch, clock"
名前,namae,Name
きれい,kirei,Beautiful
黒い,kuroi,Black
白い,shiroi,White
英語,eigo,English
大学,daigaku,University
電話,denwa,Telephone
バス,basu,Bus
猫,neko,Cat
犬,inu,Dog
コンピュータ,konpiūta,Computer
服,fuku,Clothes
コーヒー,kohi,Coffee
パン,pan,Bread
ビール,biru,Beer
昼ご飯,hirogohan,Lunch
夕食,yūshoku,Dinner
食べ物,tabemono,Food
飲み物,nomi mono,Beverage
果物,kudamono,Fruit
男の子,otoko no ko,Boy
女の子,onna no ko,Girl
子供,kodomo,Child
母,haha,Mother
父,chichi,Father
友達,tomodachi,Friend
学生,kagusei,Student
先生,sensei,Teacher
川,kawa,River
花,hana,Flower
魚,sakana,Fish
空,sora,Sky
山,yama,Mountain
雨,ame,Rain
今,ima,Now
今日,kyou,Today
昨日,kinou,Yesterday
明日,asita,Tomorrow
毎日,mai nichi,Every day
毎週,maishū,Every week
午前,gozen,Morning
午後,gogo,Afternoon
月曜日,getsuyoubi,Monday
火曜日,kayoubi,Tuesday
水曜日,suiyoubi,Wednesday
木曜日,mokuyoubi,Thursday
金曜日,kinyoubi,Friday
土曜日,douyoubi,Saturday
日曜日,nichiyoubi,Sunday
今年,kotoshi,This year
耳,mimi,Ear
手,te,Hand
足,ashi,Foot
目,me,Eye
口,kuchi,Mouth
顔,kao,Face
駅,eki,Train station
北,kita,North
南,minami,South
西,nishi,West
東,higashi,East
国,kuni,Country
外国,gaikoku,Gaikoku
右,mighi,Right
左,hidari,Left
入口,iriguchi,Entrance
出口,deguchi,Exit
おはようございます,ohayou gozaimasu,Good Morning
おはよう,ohayou,Good Morning
こんにちは,konnichi wa,Hello
こんばんは,konban wa,Good evening
ただいま,tadaima,I’m home
おやすみなさい,oyasuminasai, Good night
もしもし,moshi moshi,Hello?
いらっしゃいませ,irasshiaimase,Welcome!
おげんきですか,ogenki desu ka?,How Are you?
おしゃしぶりです,oshashiburi desu,Long time no see.
さようなら,sayounara,Goodbye
またね,matane,See you
はい,hai,Yes
いいえ,iie,No
わかりません,wakarimasen,I don’t understand
わすれました,wasuremashita,I forgot
しりません,shirimasen,I don’t know
たぶん,tabun,Maybe
だいじょうぶ,daijoubu,Alright
よろしくお願いします,yoroshiku onegai shimasu,Nice to meet you
どうも,doumo,Thanks
おねがいします,onegai shimasu,Please
どうもありがとうございます,doumo arigatou gozaimasu,Thank you so much
すみません,sumimasen,Excuse me / I’m sorry
ごめんなさい,gomennasai,I’m sorry
どういたしまして,douita shimashite,You’re welcome
どうぞ*,douzo,After you
ごめんなさい,gomen nasai,I’m sorry
助けてください,tasukete kudasai,Help!
